StartDateTime,ISEM DA Price
2022-01-22,159.120975
2022-01-23,170.72748
2022-01-24,145.147464
2022-01-25,174.4732
2022-01-26,260.8668
2022-01-27,158.198481
2022-01-28,195.99
2022-01-29,82.4076
2022-01-30,192.515625
2022-01-31,92.232675
2022-02-01,99.78
2022-02-02,142.7337
2022-02-03,151.788
2022-02-04,149.974662
2022-02-05,157.63081
2022-02-06,30.975615
2022-02-07,416.012355
2022-02-08,89.215098
2022-02-09,134.768
2022-02-10,135.36834
2022-02-11,165.494864
2022-02-12,45.293235
2022-02-13,189.4542
2022-02-14,160.2432
2022-02-15,114.614938
2022-02-16,33.48
2022-02-17,23.4808
2022-02-18,125.83472
2022-02-19,102.6435
2022-02-20,0.0
2022-02-21,45.8645
2022-02-22,111.945988
2022-02-23,117.999376
2022-02-24,120.915845
2022-02-25,149.597468
2022-02-26,125.34
2022-02-27,113.772854
2022-02-28,121.802298
2022-03-01,219.16576
2022-03-02,191.013732
2022-03-03,236.5152
2022-03-04,326.00016
2022-03-05,335.40639
2022-03-06,354.431959
2022-03-07,361.578801
2022-03-08,99.7887
2022-03-09,125.167725
2022-03-10,365.819223
2022-03-11,125.659996
2022-03-12,269.64
2022-03-13,89.946348
2022-03-14,210.3198
2022-03-15,206.067452
2022-03-16,215.3985
2022-03-17,208.7416
2022-03-18,267.322
2022-03-19,163.57466
2022-03-20,133.719
2022-03-21,178.19108
2022-03-22,165.09671
2022-03-23,182.6679
2022-03-24,213.42038
2022-03-25,218.17498
2022-03-26,211.022424
2022-03-27,242.5194
2022-03-28,197.72415
2022-03-29,182.5803
2022-03-30,227.5858
2022-03-31,199.2095
2022-04-01,221.18384
2022-04-02,275.0462
2022-04-03,268.30624
2022-04-04,154.297168
2022-04-05,160.951062
2022-04-06,104.55
2022-04-07,64.981268
2022-04-08,232.988
2022-04-09,212.5425
2022-04-10,210.8249
2022-04-11,0.0
2022-04-12,176.009147
2022-04-13,195.142786
2022-04-14,172.397412
2022-04-15,150.916896
2022-04-16,150.335616
2022-04-17,125.490048
2022-04-18,108.53328
2022-04-19,141.91536
2022-04-20,155.56875
2022-04-21,143.326861
2022-04-22,141.099588
2022-04-23,133.40186
2022-04-24,158.086245
2022-04-25,165.860015
2022-04-26,143.157
2022-04-27,124.854993
2022-04-28,156.259446
2022-04-29,143.757284
2022-04-30,137.773488
2022-05-01,81.926974
2022-05-02,94.955091
2022-05-03,115.098256
2022-05-04,113.29486
2022-05-05,121.916
2022-05-06,92.7607
2022-05-07,136.936558
2022-05-08,164.25412
2022-05-09,99.501078
2022-05-10,65.26671
2022-05-11,40.121532
2022-05-12,73.735273
2022-05-13,58.03604
2022-05-14,76.65203
2022-05-15,140.548877
2022-05-16,77.824023
2022-05-17,37.24988
2022-05-18,80.65452
2022-05-19,96.902736
2022-05-20,87.270072
2022-05-21,94.891538
2022-05-22,103.535015
2022-05-23,107.038494
2022-05-24,130.786248
2022-05-25,125.78358
2022-05-26,115.0335
2022-05-27,93.876543
2022-05-28,116.437156
2022-05-29,131.481068
2022-05-30,143.249015
2022-05-31,135.58545
2022-06-01,134.893177
2022-06-02,131.319936
2022-06-03,127.0076
2022-06-04,131.942076
2022-06-05,124.611164
2022-06-06,150.472888
2022-06-07,147.498404
2022-06-08,124.99158
2022-06-09,115.8992
2022-06-10,60.23367
2022-06-11,0.44278
2022-06-12,105.0543
2022-06-13,123.810336
2022-06-14,143.651456
2022-06-15,148.76316
2022-06-16,167.466879
2022-06-17,194.715756
2022-06-18,162.431
2022-06-19,173.791664
2022-06-20,150.116992
2022-06-21,162.5022
2022-06-22,159.589196
2022-06-23,175.06163
2022-06-24,173.96354
2022-06-25,158.02644
2022-06-26,107.960364
2022-06-27,136.5174
2022-06-28,64.47
2022-06-29,131.622139
2022-06-30,141.056802
2022-07-01,147.0771
2022-07-02,155.841
2022-07-03,164.93316
2022-07-04,133.7133
2022-07-05,169.24677
2022-07-06,243.08856
2022-07-07,142.478278
2022-07-08,190.0406
2022-07-09,202.238816
2022-07-10,179.843238
2022-07-11,198.951
2022-07-12,173.2865
2022-07-13,217.86192
2022-07-14,257.9274
2022-07-15,217.446722
2022-07-16,198.918676
2022-07-17,174.726489
2022-07-18,172.49283
2022-07-19,181.5148
2022-07-20,158.571972
2022-07-21,177.668572
2022-07-22,196.379216
2022-07-23,244.911909
2022-07-24,220.963008
2022-07-25,268.128
2022-07-26,227.783
2022-07-27,254.922633
2022-07-28,269.180499
2022-07-29,259.629984
2022-07-30,251.73
2022-07-31,254.3382
2022-08-01,250.795932
2022-08-02,198.933828
2022-08-03,171.79
2022-08-04,242.9559
2022-08-05,255.1935
2022-08-06,274.4594
2022-08-07,231.182183
2022-08-08,230.313663
2022-08-09,244.325
2022-08-10,237.405492
2022-08-11,230.5758
2022-08-12,247.612302
2022-08-13,282.75211
2022-08-14,316.8528
2022-08-15,310.058256
2022-08-16,284.172954
2022-08-17,275.370106
2022-08-18,322.304365
2022-08-19,274.5925
2022-08-20,337.3944
2022-08-21,322.283528
2022-08-22,327.610808
2022-08-23,371.187927
2022-08-24,405.024
2022-08-25,377.665152
2022-08-26,421.926162
2022-08-27,435.511615
2022-08-28,425.942657
2022-08-29,355.36664
2022-08-30,371.142288
2022-08-31,342.466875
2022-09-01,306.1244
2022-09-02,237.240584
2022-09-03,251.672466
2022-09-04,216.2
2022-09-05,187.497288
2022-09-06,211.004579
2022-09-07,186.006562
2022-09-08,159.285245
2022-09-09,229.964994
2022-09-10,249.9552
2022-09-11,319.021458
2022-09-12,247.8476
